
1639854600000,46414.95000000,46466.10000000,46402.82000000,46433.42000000,28.56610000,1639854659999,1326539.62741960,926,16.11755000,748418.54616940,0
1639854660000,46433.43000000,46472.95000000,46348.52000000,46359.71000000,45.77108000,1639854719999,2125195.22131800,1343,20.37137000,945791.17489810,0
1639854720000,46359.71000000,46395.12000000,46325.61000000,46391.97000000,45.13648000,1639854779999,2092429.51035750,1374,20.23923000,938123.27363840,0
1639854780000,46391.97000000,46429.96000000,46370.39000000,46422.09000000,15.15935000,1639854839999,703411.05157670,637,8.16667000,378941.12732700,0
1639854840000,46422.09000000,46440.53000000,46406.97000000,46439.86000000,9.75685000,1639854899999,452904.30350890,429,6.31142000,292964.19432770,0
1639854900000,46439.86000000,46439.86000000,46353.76000000,46394.99000000,14.74326000,1639854959999,683908.36267570,648,5.07286000,235283.94095640,0
1639854960000,46393.25000000,46421.40000000,46377.59000000,46385.84000000,15.25406000,1639855019999,707773.33068680,572,7.22238000,335063.66655930,0
1639855020000,46385.84000000,46417.91000000,46378.98000000,46417.91000000,12.47663000,1639855079999,578891.50927240,477,7.75819000,359954.24473680,0
1639855080000,46417.91000000,46445.88000000,46417.90000000,46426.11000000,12.76187000,1639855139999,592531.29238650,526,5.65233000,262426.16005810,0
1639855140000,46426.10000000,46449.63000000,46381.19000000,46425.92000000,33.05609000,1639855199999,1534559.29462170,851,20.12236000,934167.71671370,0
1639855200000,46425.92000000,46477.95000000,46425.92000000,46468.98000000,14.19365000,1639855259999,659382.81046340,639,8.06090000,374445.76299100,0
1639855260000,46468.98000000,46492.97000000,46465.75000000,46491.68000000,13.99445000,1639855319999,650534.61462080,589,7.77158000,361251.57673960,0
1639855320000,46491.68000000,46568.48000000,46491.67000000,46556.98000000,25.10752000,1639855379999,1168445.50284820,891,12.83420000,597189.68541690,0
1639855380000,46556.97000000,46556.98000000,46500.54000000,46500.54000000,29.22438000,1639855439999,1359653.83388460,636,17.38948000,809036.27304060,0
1639855440000,46500.55000000,46512.69000000,46460.00000000,46480.33000000,14.48007000,1639855499999,673127.60726160,610,4.04354000,187952.47039130,0
1639855500000,46480.34000000,46511.74000000,46442.46000000,46471.79000000,17.05027000,1639855559999,792532.64422480,574,9.19890000,427570.45914270,0
1639855560000,46475.95000000,46517.91000000,46471.71000000,46517.90000000,11.39669000,1639855619999,529822.96202040,449,4.97723000,231383.50809370,0
1639855620000,46517.91000000,46551.79000000,46517.90000000,46545.70000000,14.94550000,1639855679999,695515.71494180,488,6.11436000,284549.45559330,0
